,state,positive_0416,death_0416,positive_0328,death_0328,state_long,population_2019,abbrev,positive_rate_0416,death_rate_0416,positive_rate_0328,death_rate_0328,Initial Claims,claims_rate,positive_rate_0416_1000,death_rate_0416_1000,positive_rate_0328_1000,death_rate_0328_1000,claims_rate_1000
0,AK,300.0,9.0,85.0,2.0,Alaska,731545.0,AK,0.0004100909718472548,1.2302729155417643e-05,0.00011619244202338885,2.733939812315032e-06,36211.0,0.04949934727186981,0.4100909718472548,0.012302729155417642,0.11619244202338885,0.002733939812315032,49.49934727186981
1,AL,4345.0,133.0,696.0,3.0,Alabama,4903185.0,AL,0.0008861586907285775,2.7125225746122162e-05,0.00014194854976918065,6.118471972809511e-07,198615.0,0.04050734369598537,0.8861586907285774,0.027125225746122163,0.14194854976918064,0.0006118471972809511,40.50734369598537
2,AR,1620.0,37.0,404.0,5.0,Arkansas,3017804.0,AR,0.0005368141867397617,1.2260570931710608e-05,0.00013387217990300232,1.6568339096906226e-06,99117.0,0.03284408132536109,0.5368141867397617,0.012260570931710608,0.13387217990300232,0.0016568339096906227,32.84408132536109
4,AZ,4234.0,150.0,873.0,15.0,Arizona,7278717.0,AZ,0.0005816959225094202,2.060802748616274e-05,0.00011993871996946714,2.060802748616274e-06,250716.0,0.03444508146147185,0.5816959225094203,0.02060802748616274,0.11993871996946714,0.002060802748616274,34.44508146147185
5,CA,26182.0,890.0,4643.0,101.0,California,39512223.0,CA,0.0006626303966749732,2.252467546561478e-05,0.00011750794178297688,2.5561710359854973e-06,2163472.0,0.05475449963926353,0.6626303966749733,0.02252467546561478,0.11750794178297688,0.0025561710359854974,54.75449963926353
6,CO,8280.0,357.0,1734.0,31.0,Colorado,5758736.0,CO,0.0014378155206281379,6.19927706357784e-05,0.00030110774308806656,5.3831257414821585e-06,127938.0,0.022216333584314334,1.4378155206281378,0.061992770635778405,0.30110774308806654,0.0053831257414821585,22.216333584314334
7,CT,15884.0,971.0,1291.0,27.0,Connecticut,3565287.0,CT,0.0044551813079844625,0.0002723483411012914,0.000362102686263406,7.573022873053418e-06,91791.0,0.025745753427423936,4.455181307984462,0.2723483411012914,0.362102686263406,0.007573022873053417,25.745753427423935
8,DC,2350.0,81.0,304.0,4.0,District of Columbia,705749.0,DC,0.0033297957205748784,0.00011477168228364475,0.000430748042150963,5.667737396723197e-06,45660.0,0.06469722238359531,3.3297957205748783,0.11477168228364475,0.430748042150963,0.005667737396723198,64.6972223835953
9,DE,2075.0,52.0,214.0,3.0,Delaware,973764.0,DE,0.0021309064619353356,5.340102940753612e-05,0.00021976577486947557,3.080828619665545e-06,48764.0,0.050077842269790215,2.1309064619353357,0.05340102940753612,0.21976577486947557,0.003080828619665545,50.07784226979022
10,FL,22897.0,646.0,3763.0,54.0,Florida,21477737.0,FL,0.0010660806583114412,3.007765669167101e-05,0.00017520467822098763,2.5142313643192483e-06,472682.0,0.02200799832868798,1.0660806583114413,0.03007765669167101,0.17520467822098762,0.0025142313643192484,22.00799832868798
11,GA,15669.0,587.0,2366.0,69.0,Georgia,10617423.0,GA,0.0014757818351967327,5.528648524222874e-05,0.00022284126760325928,6.498752098319903e-06,536092.0,0.05049172478105092,1.4757818351967327,0.05528648524222874,0.22284126760325929,0.0064987520983199034,50.49172478105092
13,HI,530.0,9.0,120.0,,Hawaii,1415872.0,HI,0.0003743276228359626,6.356506802874836e-06,8.475342403833115e-05,,110514.0,0.07805366586810107,0.3743276228359626,0.006356506802874836,0.08475342403833115,,78.05366586810108
14,IA,2141.0,60.0,298.0,3.0,Iowa,3155070.0,IA,0.0006785903323856523,1.9017010716085538e-05,9.445115322322485e-05,9.50850535804277e-07,161112.0,0.05106447717483289,0.6785903323856523,0.01901701071608554,0.09445115322322485,0.000950850535804277,51.06447717483289
15,ID,1587.0,41.0,230.0,4.0,Idaho,1787065.0,ID,0.0008880482802807956,2.2942646182427612e-05,0.00012870264931605734,2.238306944627084e-06,77431.0,0.04332858625735494,0.8880482802807956,0.022942646182427612,0.12870264931605735,0.002238306944627084,43.328586257354935
16,IL,25733.0,1072.0,3491.0,47.0,Illinois,12671821.0,IL,0.0020307262863009192,8.459715458417539e-05,0.0002754931591915637,3.709017038671869e-06,493576.0,0.03895067646552141,2.0307262863009194,0.0845971545841754,0.2754931591915637,0.003709017038671869,38.95067646552141
17,IN,9542.0,477.0,1232.0,31.0,Indiana,6732219.0,IN,0.0014173632794773907,7.085331003046692e-05,0.00018300058272019968,4.60472245481022e-06,325939.0,0.04841479458704478,1.4173632794773907,0.07085331003046692,0.18300058272019967,0.004604722454810219,48.41479458704478
18,KS,1588.0,80.0,261.0,5.0,Kansas,2913314.0,KS,0.0005450837087934908,2.7460136463148153e-05,8.958869521102086e-05,1.7162585289467595e-06,127199.0,0.04366127372469977,0.5450837087934909,0.02746013646314815,0.08958869521102085,0.0017162585289467595,43.661273724699775
19,KY,2291.0,122.0,302.0,8.0,Kentucky,4467673.0,KY,0.0005127949158320226,2.7307280546270955e-05,6.759671086044122e-05,1.790641347296456e-06,279747.0,0.06261581812276772,0.5127949158320226,0.027307280546270955,0.06759671086044122,0.001790641347296456,62.61581812276771
20,LA,22532.0,1156.0,3315.0,137.0,Louisiana,4648794.0,LA,0.004846848451447838,0.0002486666434348349,0.0007130881686734237,2.9470008780771958e-05,270459.0,0.058178314633859876,4.846848451447839,0.2486666434348349,0.7130881686734237,0.029470008780771956,58.17831463385988
21,MA,32181.0,1245.0,4257.0,44.0,Massachusetts,6892503.0,MA,0.004668985998265072,0.00018063104216276728,0.000617627587539679,6.383747674828723e-06,469522.0,0.06812068126774845,4.668985998265072,0.1806310421627673,0.617627587539679,0.006383747674828723,68.12068126774845
22,MD,10784.0,392.0,992.0,5.0,Maryland,6045680.0,MD,0.0017837530269547842,6.483968718159083e-05,0.00016408410633708697,8.270368262958013e-07,237794.0,0.03933287901443675,1.7837530269547843,0.06483968718159083,0.16408410633708698,0.0008270368262958013,39.33287901443675
23,ME,796.0,27.0,211.0,1.0,Maine,1344212.0,ME,0.0005921684972310915,2.0086117368391296e-05,0.00015696928758261345,7.439302729033813e-07,76139.0,0.05664210704859055,0.5921684972310914,0.020086117368391297,0.15696928758261344,0.0007439302729033813,56.64210704859055
24,MI,29263.0,2093.0,9287.0,92.0,Michigan,9986857.0,MI,0.0029301510975875593,0.0002095754450073732,0.0009299221967431796,9.212107472851569e-06,820895.0,0.08219753221659226,2.9301510975875593,0.20957544500737318,0.9299221967431796,0.00921210747285157,82.19753221659226
25,MN,1912.0,94.0,441.0,5.0,Minnesota,5639632.0,MN,0.00033902921325363076,1.666775420807599e-05,7.819659155065438e-05,8.865826706423397e-07,335128.0,0.05942373544940521,0.3390292132536308,0.01666775420807599,0.07819659155065438,0.0008865826706423397,59.423735449405214
26,MO,5111.0,152.0,838.0,10.0,Missouri,6137428.0,MO,0.0008327592600678982,2.4766074648859424e-05,0.0001365392799720013,1.6293470163723306e-06,237995.0,0.038777644316153284,0.8327592600678981,0.024766074648859424,0.13653927997200133,0.0016293470163723305,38.777644316153285
28,MS,3624.0,129.0,663.0,13.0,Mississippi,2976149.0,MS,0.0012176809696019923,4.334460405040205e-05,0.00022277110453811284,4.368060873296331e-06,83386.0,0.028018086460052907,1.2176809696019923,0.043344604050402046,0.22277110453811283,0.004368060873296331,28.018086460052906
29,MT,415.0,7.0,129.0,1.0,Montana,1068778.0,MT,0.00038829392072067354,6.549536012155939e-06,0.00012069859222401659,9.356480017365627e-07,57356.0,0.05366502678760229,0.38829392072067354,0.006549536012155939,0.12069859222401659,0.0009356480017365628,53.66502678760229
30,NC,5465.0,131.0,935.0,4.0,North Carolina,10488084.0,NC,0.0005210675276818912,1.2490365256418617e-05,8.914879018894204e-05,3.8138519866927075e-07,403650.0,0.03848653386071279,0.5210675276818912,0.012490365256418617,0.08914879018894203,0.00038138519866927074,38.48653386071279
31,ND,393.0,9.0,83.0,1.0,North Dakota,762062.0,ND,0.0005157060711595645,1.1810062698310636e-05,0.00010891502266219808,1.3122291887011818e-06,32605.0,0.04278523269760203,0.5157060711595645,0.011810062698310636,0.10891502266219809,0.001312229188701182,42.785232697602034
32,NE,952.0,21.0,96.0,2.0,Nebraska,1934408.0,NE,0.0004921402310164143,1.0856034507715022e-05,4.962758632098296e-05,1.0339080483538115e-06,67479.0,0.03488354059743343,0.4921402310164143,0.010856034507715022,0.04962758632098296,0.0010339080483538115,34.883540597433424
33,NH,1139.0,32.0,187.0,2.0,New Hampshire,1359711.0,NH,0.0008376780065763975,2.3534412827431713e-05,0.00013752922496030405,1.470900801714482e-06,99959.0,0.07351488661928895,0.8376780065763976,0.02353441282743171,0.13752922496030406,0.001470900801714482,73.51488661928896
34,NJ,75317.0,3518.0,11124.0,140.0,New Jersey,8882190.0,NJ,0.008479552903056567,0.0003960734908845679,0.001252393835304131,1.5761878545719017e-05,536904.0,0.06044725456221945,8.479552903056566,0.3960734908845679,1.252393835304131,0.01576187854571902,60.44725456221945
35,NM,1484.0,36.0,191.0,1.0,New Mexico,2096829.0,NM,0.0007077353470406981,1.7168782003682704e-05,9.108992674176102e-05,4.769106112134085e-07,72086.0,0.03437857831992976,0.7077353470406981,0.017168782003682704,0.09108992674176102,0.0004769106112134085,34.378578319929765
36,NV,3321.0,137.0,621.0,10.0,Nevada,3080156.0,NV,0.001078192143514809,4.447826668519387e-05,0.0002016131650474846,3.2465888091382382e-06,243525.0,0.07906255397453896,1.078192143514809,0.04447826668519387,0.2016131650474846,0.003246588809138238,79.06255397453896
37,NY,222284.0,12192.0,52318.0,728.0,New York,19453561.0,NY,0.011426391291548113,0.0006267233027413336,0.0026893790807760083,3.7422454428780415e-05,791045.0,0.04066324926320688,11.426391291548113,0.6267233027413336,2.6893790807760083,0.037422454428780415,40.66324926320688
38,OH,8414.0,389.0,1406.0,25.0,Ohio,11689100.0,OH,0.0007198158968611784,3.3278866636439074e-05,0.00012028299869108828,2.1387446424446706e-06,696788.0,0.05961006407678949,0.7198158968611784,0.03327886663643907,0.12028299869108829,0.0021387446424446705,59.61006407678949
39,OK,2357.0,131.0,377.0,15.0,Oklahoma,3956971.0,OK,0.0005956576381277497,3.310613092691354e-05,9.527489587363668e-05,3.7907783504099472e-06,130204.0,0.03290496695578512,0.5956576381277497,0.03310613092691354,0.09527489587363668,0.0037907783504099474,32.90496695578512
40,OR,1736.0,64.0,479.0,13.0,Oregon,4217737.0,OR,0.00041159512790863914,1.517401393211573e-05,0.00011356801052317866,3.0822215799610075e-06,140340.0,0.03327376742551752,0.41159512790863917,0.015174013932115728,0.11356801052317866,0.0030822215799610076,33.27376742551752
41,PA,27735.0,707.0,2751.0,34.0,Pennsylvania,12801989.0,PA,0.002166460227391228,5.5225793429442875e-05,0.00021488848334426784,2.6558373077808458e-06,1059768.0,0.08278151152918503,2.166460227391228,0.05522579342944287,0.21488848334426786,0.002655837307780846,82.78151152918502
43,RI,3838.0,105.0,239.0,,Rhode Island,1059361.0,RI,0.003622938733821615,9.911635410403063e-05,0.00022560770124631734,,91890.0,0.08674096932018453,3.622938733821615,0.09911635410403064,0.22560770124631735,,86.74096932018453
44,SC,3656.0,107.0,539.0,13.0,South Carolina,5148714.0,SC,0.0007100802258583406,2.078188844826106e-05,0.00010468633526740853,2.524902334835456e-06,184874.0,0.03590683032695154,0.7100802258583406,0.02078188844826106,0.10468633526740853,0.002524902334835456,35.90683032695154
45,SD,1311.0,7.0,68.0,1.0,South Dakota,884659.0,SD,0.0014819269345589658,7.912653350047871e-06,7.686577540046504e-05,1.1303790500068388e-06,16700.0,0.01887733013511421,1.4819269345589658,0.007912653350047871,0.07686577540046505,0.0011303790500068387,18.87733013511421
46,TN,6262.0,141.0,1373.0,6.0,Tennessee,6829174.0,TN,0.0009169483747229168,2.064671364355338e-05,0.00020104920448651623,8.785835593001438e-07,242763.0,0.03554793010106347,0.9169483747229168,0.020646713643553378,0.20104920448651623,0.0008785835593001438,35.54793010106347
47,TX,16455.0,393.0,2052.0,27.0,Texas,28995881.0,TX,0.000567494396876577,1.3553649223487984e-05,7.076867228141818e-05,9.31166740544976e-07,746778.0,0.025754623561877632,0.5674943968765771,0.013553649223487984,0.07076867228141819,0.000931166740544976,25.754623561877633
48,UT,2683.0,21.0,602.0,2.0,Utah,3205958.0,UT,0.0008368793352876114,6.5503041524561455e-06,0.00018777538570374284,6.238384907101092e-07,81262.0,0.025347181716042444,0.8368793352876114,0.006550304152456146,0.18777538570374283,0.0006238384907101092,25.347181716042442
49,VA,6889.0,208.0,739.0,17.0,Virginia,8535519.0,VA,0.0008070979632287152,2.4368758361383766e-05,8.657938667818559e-05,1.991677366074635e-06,306143.0,0.03586694611071688,0.8070979632287152,0.024368758361383764,0.08657938667818559,0.001991677366074635,35.866946110716874
51,VT,768.0,35.0,211.0,12.0,Vermont,623989.0,VT,0.001230790927404169,5.6090732368679577e-05,0.0003381469865654683,1.923110824069014e-05,34891.0,0.05591604980215997,1.2307909274041688,0.05609073236867958,0.3381469865654683,0.019231108240690138,55.916049802159975
52,WA,10783.0,567.0,4707.0,211.0,Washington,7614893.0,WA,0.0014160409082570168,7.445935221939429e-05,0.0006181308128689398,2.7708859467887467e-05,484010.0,0.0635609719007214,1.416040908257017,0.07445935221939429,0.6181308128689399,0.027708859467887467,63.56097190072139
53,WI,3875.0,197.0,989.0,13.0,Wisconsin,5822434.0,WI,0.0006655292271239142,3.383464715958996e-05,0.00016986023370981965,2.2327432135770024e-06,266788.0,0.04582069972798318,0.6655292271239142,0.033834647159589955,0.16986023370981965,0.0022327432135770026,45.82069972798318
54,WV,739.0,13.0,96.0,0.0,West Virginia,1792147.0,WV,0.00041235456689657713,7.2538692417530485e-06,5.3567034400637894e-05,0.0,32553.0,0.018164246571291304,0.4123545668965771,0.007253869241753049,0.05356703440063789,0.0,18.164246571291304
55,WY,296.0,2.0,82.0,0.0,Wyoming,578759.0,WY,0.0005114391309681577,3.4556698038389036e-06,0.00014168246195739504,0.0,16592.0,0.028668236692647543,0.5114391309681577,0.0034556698038389036,0.14168246195739503,0.0,28.668236692647543
